components/c-05/title/,Global Exception Handler
components/c-05/body/,"The Global Exception Handler is a type of workflow designed to determine the project’s behavior when encountering an execution error. Only one Global Exception Handler can be added per automation project. <br><br>Note that the Global Exception Handler is not available for library projects, only processes."
components/c-05/instruction/,Use the ActivityInfo property for errorInfo to get the name of the activity which threw the exception and view it in the Output panel.
components/c-45/body/,"The Global Exception Handler has two arguments, that should not be removed.<br><br>The first argument is <strong>errorInfo</strong> with the In direction and it stores information about the error that was thrown and the workflow that failed. The level of the error to be logged can be set in the Log Message activity.<br><br><Strong>Please note that any workflow may be flagged as a Global Exception Handler in Studio, except for library projects.</strong><br><br>The second argument, <strong>result</strong> has the Out direction and it is used for determining the next behavior of the process when it encounters an error. The following values can be assigned to the result argument:"
components/c-45/_items/0/title/,Continue
components/c-45/_items/0/body/,"When an error is encountered, the execution runs the Global Exception Handler and re-throws the error."
components/c-45/_items/1/title/,Ignore
components/c-45/_items/1/body/,"The execution runs the Global Handler, ignores the error, and continues from the next activity after the one which threw the exception."
components/c-45/_items/2/title/,Retry
components/c-45/_items/2/body/,The execution runs the Global Handler and attempts to retry executing the activity which threw the error. Use the RetryCount method for errorInfo to count the number of times the activity is retried.
components/c-45/_items/3/title/,Abort
components/c-45/_items/3/body/,The execution stops upon encountering the error and the Global Handler doesn't step in.
components/c-15/body/,"When an exception is detected during debugging, the activity which faulted is highlighted, the execution stops, and the pop-up Runtime Execution Error message appears. The available options are:"
components/c-15/instruction/,"Please note that any workflow may be flagged as a Global Exception Handler in Studio, except for library projects."
components/c-15/_items/0/title/,Break
components/c-15/_items/0/body/,"It keeps the workflow in the pause state, allowing you to inspect each activity and the variables or arguments in the Locals panel."
components/c-15/_items/1/title/,Retry
components/c-15/_items/1/body/,"Attempts to execute the current activity again and if the exception is detected again, the Runtime Execution Error message appears."
components/c-15/_items/2/title/,Ignore
components/c-15/_items/2/body/,Ignores the activity that caused the error and continues the execution from the next activity.
components/c-15/_items/3/title/,Continue
components/c-15/_items/3/body/,Runs the GlobalHandler.xaml and takes into consideration the behavior previously set in the Global Exception Handler in case an exception occurs.
components/c-25/title/,Graphic
components/c-25/_graphic/alt/,Runtime execution error
components/c-40/title/,Example of using the Global Exception Handler
components/c-40/displayTitle/,Example of using the Global Exception Handler
components/c-40/body/,Video description to be updated soon.
components/c-40/instruction/,Select the play button to start the video.
components/c-40/_transcript/inlineTranscriptButton/,Transcript
components/c-40/_transcript/inlineTranscriptCloseButton/,Close Transcript
components/c-40/_transcript/inlineTranscriptBody/,Transcript body text should go here
components/c-40/_transcript/transcriptLinkButton/,Transcript
components/c-20/title/,c-20
components/c-60/title/,Multiple Choice Question
components/c-60/displayTitle/,Multiple Choice Question
components/c-60/body/,In what year was the first recorded instance of a large scale assessment that consists solely of multiple choice questions?
components/c-60/instruction/,Choose one or more options and select Submit.
components/c-60/_items/0/text/,1917
components/c-60/_items/1/text/,1888
components/c-60/_items/2/text/,1953
components/c-60/_items/3/text/,1977
components/c-60/_feedback/title/,Feedback
components/c-60/_feedback/correct/,"Correct feedback text.<br><br>That’s correct. The first large assessment to consist solely of the multiple choice question type was the Army Alpha test, used from <strong>1917</strong> to evaluate U.S. military recruits in the First World War.<br><br>Source: <a href='http://en.wikipedia.org/wiki/Multiple_choice' target='_blank'>Wikipedia</a><br><br><em>Component facts: <strong>Multiple Choice Questions (or MCQs)</strong> are a tried and tested method for presenting learners with a simple text-based question. Component is either single or spanned.</em>"
components/c-60/_feedback/_incorrect/final/,"Incorrect feedback text.<br><br>That’s not right. The first large assessment to consist solely of the multiple choice question type was the Army Alpha test, used from <strong>1917</strong> to evaluate U.S. military recruits in the First World War.<br><br>Source: <a href='http://en.wikipedia.org/wiki/Multiple_choice' target='_blank'>Wikipedia</a><br><br><em>Component facts: <strong>Multiple Choice Questions (or MCQs)</strong> are a tried and tested method for presenting learners with a simple text-based question. Component is either single or spanned.</em>"
components/c-62/title/,c-62
components/c-62/_graphic/alt/,Placeholder graphic.
components/c-65/title/,Graphical Multiple Choice Question
components/c-65/displayTitle/,Graphical Multiple Choice Question
components/c-65/body/,This is a replaced question.
components/c-65/instruction/,Choose option 2 and select Submit.
components/c-65/_items/0/text/,This is the new Option 1
components/c-65/_items/0/_graphic/alt/,Placeholder graphic.
components/c-65/_items/1/text/,This is the new Option 2
components/c-65/_items/1/_graphic/alt/,Placeholder graphic.
components/c-65/_items/2/text/,This is the same Option 3
components/c-65/_items/2/_graphic/alt/,Placeholder graphic.
components/c-65/_feedback/correct/,Correct feedback text.<br><br>That’s correct. <strong>Option 2</strong> is what we were looking for!
components/c-65/_feedback/_incorrect/final/,"Incorrect feedback text.<br><br>Sorry, that’s not right. In fact <strong>Option 2</strong> is what we were looking for (the clue was in the instruction text!)."
components/c-70/title/,Text Input
components/c-70/displayTitle/,Text Input
components/c-70/body/,Can you name one of the three companies that established Adapt as a community led Open Source project?
components/c-70/instruction/,Input your answer and select Submit.
components/c-70/_items/0/placeholder/,Enter answer here
components/c-70/_feedback/title/,Feedback
components/c-70/_feedback/correct/,"Correct answer feedback.<br><br>That’s correct. The Adapt Open Source project was established by City & Guilds Kineo, Learning Pool and Sponge. At the time of writing, there are a total of seven <a href='https://community.adaptlearning.org/mod/page/view.php?id=51' target='_blank'>official collaborators</a>.<br><br><em>Component facts: <strong>Text input</strong> components let learners enter their own answers, which is great for questions that require a bit more flexibility, like those with answers that could be written as both full words and numbers.</em>"
components/c-70/_feedback/_partlyCorrect/final/,"Incorrect answer feedback.<br><br>Sorry, that’s not right. The Adapt Open Source project was established by City & Guilds Kineo, Learning Pool and Sponge. At the time of writing, there are a total of seven <a href='https://community.adaptlearning.org/mod/page/view.php?id=51' target='_blank'>official collaborators</a>.<br><br><em>Component facts: <strong>Text input</strong> components let learners enter their own answers, which is great for questions that require a bit more flexibility, like those with answers that could be written as both full words and numbers.</em>"
components/c-70/_feedback/_incorrect/final/,"Incorrect answer feedback.<br><br>Sorry, that’s not right. The Adapt Open Source project was established by City & Guilds Kineo, Learning Pool and Sponge. At the time of writing, there are a total of seven <a href='https://community.adaptlearning.org/mod/page/view.php?id=51' target='_blank'>official collaborators</a>.<br><br><em>Component facts: <strong>Text input</strong> components let learners enter their own answers, which is great for questions that require a bit more flexibility, like those with answers that could be written as both full words and numbers.</em>"
components/c-72/title/,c-72
components/c-72/_graphic/alt/,Placeholder graphic.
components/c-75/title/,Matching
components/c-75/displayTitle/,Matching
components/c-75/body/,Can you identify some of the key facts and figures associated with the Adapt Open Source project?
components/c-75/instruction/,Choose an option from each dropdown list and select Submit.
components/c-75/placeholder/,Select an option
components/c-75/_items/0/text/,The Adapt Open Source project was formed in:
components/c-75/_items/0/_options/0/text/,2008
components/c-75/_items/0/_options/1/text/,2010
components/c-75/_items/0/_options/2/text/,2013
components/c-75/_items/0/_options/3/text/,2015
components/c-75/_items/1/text/,"Adapt adheres to the WCAG 2.0 guidelines to level AA, but when were these published?"
components/c-75/_items/1/_options/0/text/,2008
components/c-75/_items/1/_options/1/text/,2010
components/c-75/_items/1/_options/2/text/,2013
components/c-75/_items/1/_options/3/text/,2015
components/c-75/_items/2/text/,Which of these languages would benefit from using the recent addition of Right To Left (RTL) language support within Adapt?
components/c-75/_items/2/_options/0/text/,Portuguese
components/c-75/_items/2/_options/1/text/,Hebrew
components/c-75/_items/2/_options/2/text/,Finnish
components/c-75/_items/2/_options/3/text/,Esperanto
components/c-75/_feedback/title/,Feedback
components/c-75/_feedback/correct/,"Correct answer feedback.<br><br>Yes, that’s right. Adapt was established as an Open Source project in 2013. The Web Accessibility Initiative (WAI) published the WCAG 2.0 guidelines in 2008 and Hebrew is the only language of the four shown which reads right to left.<br><br><em>Component facts: The <strong>matching</strong> component lets you match a series of questions or statements with the corresponding options from the dropdown box. Component is either single or spanned.</em>"
components/c-75/_feedback/_partlyCorrect/final/,Partially correct answer feedback.<br><br>That’s partially correct. Adapt was established as an Open Source project in 2013. The Web Accessibility Initiative (WAI) published the WCAG 2.0 guidelines in 2008 and Hebrew is the only language of the four shown which reads right to left.<br><br><em>Component facts: The <strong>matching</strong> component lets you match a series of questions or statements with the corresponding options from the dropdown box. Component is either single or spanned.</em>
components/c-75/_feedback/_incorrect/final/,"Incorrect answer feedback.<br><br>Sorry, that’s not right. Adapt was established as an Open Source project in 2013. The Web Accessibility Initiative (WAI) published the WCAG 2.0 guidelines in 2008 and Hebrew is the only language of the four shown which reads right to left.<br><br><em>Component facts: The <strong>matching</strong> component lets you match a series of questions or statements with the corresponding options from the dropdown box. Component is either single or spanned.</em>"
components/c-80/title/,Slider
components/c-80/displayTitle/,Slider
components/c-80/body/,"Working memory is thought to be responsible for our ability to temporarily hold and manipulate information, but according to a paper by Miller (1956) what ‘magic number’ describes its capacity?"
components/c-80/instruction/,Drag the slider to make your choice and select Submit.
components/c-80/_feedback/title/,Feedback
components/c-80/_feedback/correct/,"Correct answer feedback.<br><br>Yes, that’s right. According to Miller’s paper 7 +/- 2 chunks of information was the limited capacity of working memory. Various theories from the field of cognitive psychology such as Miller’s <a href='http://en.wikipedia.org/wiki/The_Magical_Number_Seven,_Plus_or_Minus_Two' target='_blank'>magical number</a>, <a href='http://en.wikipedia.org/wiki/Chunking_%28psychology%29#Chunking_as_the_learning_of_long-term_memory_structures' target='_blank'>chunking</a>, <a href='http://en.wikipedia.org/wiki/Forgetting_curve' target='_blank'>the forgetting curve</a> and <a href='http://en.wikipedia.org/wiki/Spaced_repetition' target='_blank'>spaced repetition</a> have all influenced learning theory over the last 50 years or so.<br><br><em>Component facts: The correct answer for a slider component can be an exact number or a range. In this instance we have set the correct answer to a range of 5-9 due to the correct answer being seven plus or minus two. Component is either single or spanned.</em>"
components/c-80/_feedback/_incorrect/final/,"Incorrect answer feedback.<br><br>Sorry, that’s not right. According to Miller’s paper 7 +/- 2 chunks of information was the limited capacity of working memory. Various theories from the field of cognitive psychology such as Miller’s <a href='http://en.wikipedia.org/wiki/The_Magical_Number_Seven,_Plus_or_Minus_Two' target='_blank'>magical number</a>, <a href='http://en.wikipedia.org/wiki/Chunking_%28psychology%29#Chunking_as_the_learning_of_long-term_memory_structures' target='_blank'>chunking</a>, <a href='http://en.wikipedia.org/wiki/Forgetting_curve' target='_blank'>the forgetting curve</a> and <a href='http://en.wikipedia.org/wiki/Spaced_repetition' target='_blank'>spaced repetition</a> have all influenced learning theory over the last 50 years or so.<br><br><em>Component facts: The correct answer for a slider component can be an exact number or a range. In this instance we have set the correct answer to a range of 5-9 due to the correct answer being seven plus or minus two. Component is either single or spanned.</em>"
components/c-90/title/,To scroll or not to scroll?
components/c-90/displayTitle/,To scroll or not to scroll?
components/c-90/body/,Can you identify a few of the benefits that a vertical scrolling approach offers over the traditional back and next approach?
components/c-90/instruction/,Choose one or more options and select Submit.
components/c-90/_items/0/text/,Scrolling is common place on the web and therefore familiar to the learner
components/c-90/_items/1/text/,Scrolling reduces the need for unnecessary navigation as pages can be as long (or as short) as they need to be
components/c-90/_items/2/text/,Scrolling helps ensure designs are more mobile friendly
components/c-90/_items/3/text/,Scrolling means you no longer need to first gain learners attention
components/c-95/title/,c-95
components/c-95/_graphic/alt/,Placeholder graphic.
components/c-100/title/,Do you know your plugins?
components/c-100/displayTitle/,Do you know your plugins?
components/c-100/body/,Which of the following are types of Adapt plugins?
components/c-100/instruction/,Choose one or more options and select Submit.
components/c-100/_items/0/text/,Component
components/c-100/_items/1/text/,Extension
components/c-100/_items/2/text/,Schema
components/c-100/_items/3/text/,Block
components/c-100/_items/4/text/,App Wrapper
components/c-105/title/,c-105
components/c-105/_graphic/alt/,Placeholder graphic.
components/c-110/title/,"It’s as simple as A, B, C"
components/c-110/displayTitle/,"It’s as simple as A, B, C"
components/c-110/body/,Can you identify the missing word in the following sequence?<br>Article / ..... / Component.
components/c-110/instruction/,Choose an option and select Submit.
components/c-110/_items/0/text/,Block
components/c-110/_items/1/text/,Bridge
components/c-110/_items/2/text/,Brace
components/c-110/_items/3/text/,Base
components/c-110/_items/4/text/,Bearing
components/c-115/title/,c-115
components/c-115/_graphic/alt/,Placeholder graphic.
components/c-120/title/,Content objects
components/c-120/displayTitle/,Content objects
components/c-120/body/,What would you be referring to when describing a content object within Adapt?
components/c-120/instruction/,Choose one or more options and select Submit.
components/c-120/_items/0/text/,Page
components/c-120/_items/1/text/,Menu
components/c-120/_items/2/text/,Component
components/c-120/_items/3/text/,Course configuration options
components/c-125/title/,c-95
components/c-125/_graphic/alt/,Placeholder graphic.
components/c-130/title/,Adding titles to icons
components/c-130/displayTitle/,Adding titles to icons
components/c-130/body/,Version 2.0 of the framework makes it possible to add titles to the icons shown on the navigation bar. Do you know what JSON file you would need to edit to add a title to an icon?
components/c-130/instruction/,Choose an option and select Submit.
components/c-130/_items/0/text/,course.json
components/c-130/_items/1/text/,config.json
components/c-130/_items/2/text/,contentObjects.json
components/c-130/_items/3/text/,components.json
components/c-135/title/,c-95
components/c-135/_graphic/alt/,Placeholder graphic.
components/c-140/title/,Control the scroll
components/c-140/displayTitle/,Control the scroll
components/c-140/body/,"The <strong>Trickle</strong> extension makes it possible to control how the learner scrolls down the page, but what elements of a page can it be applied to?"
components/c-140/instruction/,Choose an option and select Submit.
components/c-140/_items/0/text/,Article
components/c-140/_items/1/text/,Block
components/c-140/_items/2/text/,Component
components/c-140/_items/3/text/,Other extensions
components/c-145/title/,c-95
components/c-145/_graphic/alt/,Placeholder graphic.
components/c-147/title/,Scoring bands
components/c-147/body/,"The new Assessment Results component allows you to specify the assessment pass mark, and provide tailored feedback to as many scoring bands as you wish.<br><br>In this short assessment we set the pass mark at 75% or above and provided four scoring bands, each of which has some accompanying feedback. The four scoring bands were:<br><br><ul><li>0-49% (fail)</li><li>50-74% (fail)</li><li>75-99% (pass)</li><li>100% (perfect score)</li></ul><br>So, how did you do? Let’s find out."
components/c-150/title/,Results
components/c-150/displayTitle/,Results
components/c-150/_retry/button/,Retry Assessment
components/c-150/_completionBody/,{{{feedback}}}
components/c-150/_bands/0/feedback/,"You didn’t pass, achieving a score of {{scoreAsPercent}}%.<br><br>You didn’t do so well in the Adapt assessment demo, but don’t worry. There’s lots of information about the Adapt basics on our site. We’d also suggest you pay a visit to the forums and ask our ever helpful community to answer any questions that you might have."
components/c-150/_bands/1/feedback/,"You didn’t pass, achieving a score of {{scoreAsPercent}}%.<br><br>You already know some of the Adapt basics but please explore our site for more information. Also pay a visit to the forums and ask our ever helpful community to answer any questions that you might have."
components/c-150/_bands/2/feedback/,"You passed, achieving a score of {{scoreAsPercent}}%.<br><br>You’re clearly already pretty knowledgeable about Adapt so, if you haven’t already, please consider sharing your expertise on the Adapt community forums."
components/c-150/_bands/3/feedback/,"You passed, achieving a score of {{scoreAsPercent}}%.<br><br>You’re clearly already a black belt in Adapt! If you haven’t already, please consider sharing your expertise on the Adapt community forums."
components/c-148/title/,New Chapter
components/c-148/body/,"The new Assessment Results component allows you to specify the assessment pass mark, and provide tailored feedback to as many scoring bands as you wish.<br><br>In this short assessment we set the pass mark at 75% or above and provided four scoring bands, each of which has some accompanying feedback. The four scoring bands were:<br><br><ul><li>0-49% (fail)</li><li>50-74% (fail)</li><li>75-99% (pass)</li><li>100% (perfect score)</li></ul><br>So, how did you do? Let’s find out."
